"filename", "language", "JSON", "Minecraft Function", "Markdown", "CSV", "comment", "blank", "total"
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\enderchest\handelsplatz\load_offers\set_name.mcfunction", "Minecraft Function", 0, 1, 0, 0, 0, 0, 1
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\enderchest\handelsplatz\load_offers\set_price.mcfunction", "Minecraft Function", 0, 1, 0, 0, 0, 0, 1
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\enderchest\handelsplatz\main.mcfunction", "Minecraft Function", 0, 51, 0, 0, 5, 15, 71
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\enderchest\handelsplatz\new_offer.mcfunction", "Minecraft Function", 0, 69, 0, 0, 0, 9, 78
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\enderchest\handelsplatz\new_offer\build_price_buttons.mcfunction", "Minecraft Function", 0, 42, 0, 0, 2, 11, 55
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\enderchest\handelsplatz\new_offer\create_offer.mcfunction", "Minecraft Function", 0, 20, 0, 0, 0, 4, 24
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\enderchest\handelsplatz\stats.mcfunction", "Minecraft Function", 0, 72, 0, 0, 26, 9, 107
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\enderchest\main.mcfunction", "Minecraft Function", 0, 10, 0, 0, 1, 2, 13
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\enderchest\settings.mcfunction", "Minecraft Function", 0, 8, 0, 0, 0, 4, 12
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\enderchest\shop\load.mcfunction", "Minecraft Function", 0, -5, 0, 0, 0, -4, -9
