"filename", "language", "JSON", "MCMETA", "mcfunction", "comment", "blank", "total"
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\dimension\nether.json", "JSON", 18, 0, 0, 0, 1, 19
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\dimension\ocean.json", "JSON", 18, 0, 0, 0, 1, 19
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\dimension\sky.json", "JSON", 18, 0, 0, 0, 2, 20
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\dimension\stage-1_bossroom.json", "JSON", 18, 0, 0, 0, 2, 20
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\dimension\stage-2_bossroom.json", "JSON", 18, 0, 0, 0, 2, 20
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\dimension\stage-3_bossroom.json", "JSON", 18, 0, 0, 0, 2, 20
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\dimension\stage-4_bossroom.json", "JSON", 18, 0, 0, 0, 2, 20
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\dimension\stone.json", "JSON", 26, 0, 0, 0, 1, 27
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\dimension_type\hub.json", "JSON", 24, 0, 0, 0, 0, 24
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\dimension_type\nether.json", "JSON", 23, 0, 0, 0, 0, 23
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\dimension_type\ocean.json", "JSON", 23, 0, 0, 0, 0, 23
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\dimension_type\sky.json", "JSON", 23, 0, 0, 0, 0, 23
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\dimension_type\stage-1_bossroom.json", "JSON", 24, 0, 0, 0, 0, 24
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\dimension_type\stage-2_bossroom.json", "JSON", 24, 0, 0, 0, 0, 24
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\dimension_type\stage-3_bossroom.json", "JSON", 24, 0, 0, 0, 0, 24
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\dimension_type\stage-4_bossroom.json", "JSON", 24, 0, 0, 0, 0, 24
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\dimension_type\stone.json", "JSON", 23, 0, 0, 0, 0, 23
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\enchantment\element_bow_infinity.json", "JSON", 31, 0, 0, 0, 2, 33
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\enchantment\projectile_invulnerablity.json", "JSON", 36, 0, 0, 0, 0, 36
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\bosse\spectator.mcfunction", "mcfunction", 0, 0, 8, 0, 2, 10
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\bosse\stage-1\main.mcfunction", "mcfunction", 0, 0, 29, 2, 17, 48
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\bosse\stage-2\main.mcfunction", "mcfunction", 0, 0, 30, 3, 18, 51
